"用例ID","需求/工作包","模块","用例标题","测试类型","层级","优先级","前置条件","操作步骤","测试数据","预期结果","自动化/证据参考","附件基线状态","本次结果","实际结果/偏差","证据路径","执行人","执行时间","外部责任人/下一步"
"TC-0146","UWP-10|SUP-002","供应链","镜像签名校验","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","部署未由可信密钥签名的镜像","见测试数据表","Kyverno/Cosign 拒绝","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","镜像引用、签名策略、离线校验和、AI-BOM 和许可证门禁通过仓库供应链与 appliance 校验。","P6-logs/03-quality.log; P6-logs/11-appliance.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0147","UWP-10|SUP-003","供应链","离线包校验和","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","传输后篡改一个镜像归档","见测试数据表","安装脚本在加载前拒绝","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","镜像引用、签名策略、离线校验和、AI-BOM 和许可证门禁通过仓库供应链与 appliance 校验。","P6-logs/03-quality.log; P6-logs/11-appliance.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0148","UWP-10|SUP-004","供应链","AI-BOM 完整性","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","登记模型/数据/规则/工具并生成 BOM","见测试数据表","版本、摘要、许可、来源和审批完整","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","镜像引用、签名策略、离线校验和、AI-BOM 和许可证门禁通过仓库供应链与 appliance 校验。","P6-logs/03-quality.log; P6-logs/11-appliance.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0149","UWP-10|SUP-005","供应链","许可证缺失","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","引入无批准许可证组件","见测试数据表","准入/发布失败","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","镜像引用、签名策略、离线校验和、AI-BOM 和许可证门禁通过仓库供应链与 appliance 校验。","P6-logs/03-quality.log; P6-logs/11-appliance.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0150","UWP-11|DEP-001","部署与可靠性","生产 Secret 占位符","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","使用占位符或短 HMAC 运行生产值校验","见测试数据表","校验失败","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","Secret 占位符、服务间安全配置和网络隔离合同通过；13 个服务运行，应用健康，只读根文件系统与限定 tmpfs 生效。","P6-logs/03-quality.log; P6-deployment-verification.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0151","UWP-11|DEP-002","部署与可靠性","服务间明文禁止","安全/性能/可靠性","系统","P0","测试环境可用；使用授权测试数据","关闭 mesh 且未启用 gatewayDirectTls","见测试数据表","生产配置校验失败","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","Secret 占位符、服务间安全配置和网络隔离合同通过；13 个服务运行，应用健康，只读根文件系统与限定 tmpfs 生效。","P6-logs/03-quality.log; P6-deployment-verification.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0152","UWP-11|DEP-003","部署与可靠性","网络策略隔离","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","从非授权命名空间访问数据库/Worker","见测试数据表","网络连接拒绝","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","Secret 占位符、服务间安全配置和网络隔离合同通过；13 个服务运行，应用健康，只读根文件系统与限定 tmpfs 生效。","P6-logs/03-quality.log; P6-deployment-verification.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0153","UWP-11|AVA-002","部署与可靠性","单实例故障","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","终止一个网关/控制面 Pod","见测试数据表","服务按冻结 SLO 继续或快速恢复","仓库脚本+目标环境","外部阻塞","外部阻塞","本地验证了超时、取消、租约和恢复逻辑，但当前单机 Compose 不能替代目标多实例拓扑故障演练。","P6-fault-injection-summary.json","Codex（内部证据）/外部责任人待签收","2026-09-05T00:03:25.577Z","部署架构师/环境所有者：在目标集群终止单个网关或控制面实例，按冻结 SLO 记录恢复过程。"
"TC-0154","UWP-11|AVA-005","部署与可靠性","备份恢复演练","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","恢复生产规模备份并执行一致性检查","见测试数据表","满足 BIA 的 RPO/RTO，审计/策略/事件完整","仓库脚本+目标环境","外部阻塞","外部阻塞","迁移与隔离数据库验证通过，但缺少生产规模备份介质、BIA、RPO/RTO 和恢复授权。","P6-logs/06-integration.log; P6-deployment-verification.json","Codex（内部证据）/外部责任人待签收","2026-09-05T00:03:25.577Z","DBA/业务连续性负责人：在客户批准环境恢复脱敏生产规模备份，执行一致性与审计链检查并签收。"
"TC-0155","UWP-00|PER-003","外部验收","全策略目标时延","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","在目标模型/Tokenizer/硬件执行分位压测","见测试数据表","签名报告包含 P50/P95/P99 与错误率","仓库脚本+目标环境","外部阻塞","外部阻塞","本地快路径 1K、8K、32K 和 128K 代理分位已测量；缺少目标模型、Tokenizer、硬件和全策略端到端冻结报告。","P6-performance-local.json","Codex（内部证据）/外部责任人待签收","2026-09-05T00:03:25.577Z","性能负责人/AI 平台负责人：在冻结目标栈运行完整策略分位压测并提交 P50/P95/P99、错误率及资源曲线。"
"TC-0156","UWP-00|PER-004","外部验收","吞吐与并发","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","目标拓扑持续30分钟并发压测","见测试数据表","达到冻结 QPS/并发且资源不超限","仓库脚本+目标环境","外部阻塞","外部阻塞","本地并发 8、64 请求、0 错误、0 降级已测量，但未完成目标拓扑 30 分钟持续并发压测。","P6-performance-local.json#concurrency","Codex（内部证据）/外部责任人待签收","2026-09-05T00:03:25.577Z","性能负责人/部署架构师：在目标拓扑持续压测至少 30 分钟，冻结 QPS、并发、队列、CPU、内存和降级比例。"
"TC-0157","UWP-00|XIN-001","外部验收","国产组合兼容 POC","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","在指定 CPU/NPU/OS/DB 组合安装运行","见测试数据表","功能、性能、驱动和运维均通过逐组合报告","仓库脚本+目标环境","外部阻塞","外部阻塞","仓库兼容合同和离线工具链通过，但没有指定国产 CPU/NPU、OS、数据库与驱动组合。","P6-logs/10-compatibility.log; P6-logs/11-appliance.log","Codex（内部证据）/外部责任人待签收","2026-09-05T00:03:25.577Z","国产化适配负责人/环境所有者：确定组合清单和商业批准后逐组合执行安装、功能、性能与运维 POC。"
"TC-0158","UWP-12|NET-001","外部验收","Version B 网络数据面","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","透明转发、IPS、AV、DoS、bypass、failover 验收","见测试数据表","仅在商业批准与目标硬件网络具备后执行","仓库脚本+目标环境","外部阻塞","外部阻塞","当前范围完成应用护栏数据面，未获得 Version B 透明转发、IPS、AV、DoS、旁路和故障切换硬件环境。","P6-logs/11-appliance.log","Codex（内部证据）/外部责任人待签收","2026-09-05T00:03:25.577Z","Version B 网络与产品负责人：完成商业范围确认并提供目标网络/硬件，对透明数据面逐项验收。"
